"","length_hostname","ip","special_char","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","nb_subdomains","prefix_suffix","nb_redirection","char_repeat","shortest_words_raw","phish_hints","domain_registration_length","domain_age","web_traffic","google_index","page_rank","status"
"1225",14,"0",6,0,0,0,0,"0",0.090909091,0.071428571,2,"0",2,1,3,1,7.79605797431612,1953,8.38160253710989,"1",3,"1"
"1227",17,"0",17,0,1,0,0,"1",0,0,3,"1",0,2,2,4,4.9416424226093,4609,0,"1",3,"1"
"1228",6,"0",5,0,0,0,0,"1",0.1,0,1,"0",1,0,3,0,5.31811999384422,2354,14.6733273286925,"1",4,"1"
"1229",30,"0",6,0,0,0,0,"0",0,0,2,"0",0,2,9,0,6.37672694789863,7448,0,"0",8,"0"
"1231",20,"0",12,1,0,0,0,"0",0.027027027,0,2,"1",0,5,2,0,8.13388088794921,4628,12.2741564372626,"0",5,"0"
"1232",19,"0",11,0,0,0,0,"1",0,0,1,"1",0,1,2,4,0,2381,0,"1",2,"1"
"1233",39,"0",5,0,0,0,0,"0",0,0,2,"0",0,2,8,1,0,1192,6.99117688712121,"1",3,"1"
"1234",50,"1",13,0,1,0,0,"1",0.14516129,0,3,"1",1,3,2,0,3.25809653802148,3992,15.5572341874912,"1",0,"1"
"1235",15,"0",10,1,0,0,0,"1",0.02173913,0,3,"0",0,3,1,1,6.62406522779989,2899,0,"1",0,"1"
"1236",50,"1",13,0,1,0,0,"0",0.188976378,0,3,"1",1,4,2,0,3.25809653802148,3992,15.5572341874912,"1",0,"1"
"1238",23,"0",15,1,0,0,0,"1",0.086956522,0,3,"0",0,4,3,0,5.54907608489522,4858,12.7625922165578,"1",4,"0"
"1239",14,"0",6,0,0,0,0,"1",0,0,1,"0",0,1,2,0,3.87120101090789,1780,0,"0",0,"1"
"1240",23,"0",15,0,0,0,0,"0",0.068965517,0,2,"0",0,4,1,0,5.78382518232974,4059,4.60517018598809,"0",5,"0"
"1241",29,"1",12,1,0,0,1,"1",0.247787611,0,3,"0",0,28,3,2,4.36944785246702,3574,0,"1",0,"1"
"1242",15,"0",8,1,0,0,0,"0",0.069767442,0,2,"0",0,3,1,0,5.32787616878958,5639,1.09861228866811,"0",10,"0"
"1243",24,"0",5,0,0,0,0,"1",0,0,2,"0",1,1,8,0,5.92692602597041,7295,0,"1",5,"1"
"1245",29,"0",10,0,0,0,0,"1",0,0,3,"1",0,0,2,0,4.24849524204936,3583,13.6289580633625,"0",2,"0"
"1248",15,"0",14,1,0,0,1,"1",0,0,2,"1",1,4,2,3,4.76217393479776,614,0,"1",0,"1"
"1250",22,"0",11,1,0,0,0,"1",0,0,3,"1",1,3,2,3,5.52545293913178,3403,0,"1",1,"1"
"1251",50,"1",14,0,1,0,0,"0",0.1875,0,3,"1",1,2,2,0,2.77258872223978,4003,15.5762295511474,"1",0,"1"
"1252",25,"0",7,0,0,0,0,"1",0.216216216,0.32,2,"0",1,2,3,0,4.81218435537242,1338,10.0083879623615,"1",6,"1"
"1253",21,"0",7,0,0,0,0,"1",0.022727273,0,1,"0",1,0,1,1,5.8171111599632,3318,0,"1",0,"1"
"1254",26,"0",5,0,0,0,0,"1",0,0,2,"0",1,1,8,0,5.92692602597041,7295,0,"1",5,"1"
"1255",10,"0",10,0,0,0,0,"0",0.039215686,0,1,"0",0,2,2,0,5.84932477994686,3306,7.50218648660292,"1",5,"0"
"1256",23,"0",11,1,0,0,0,"1",0.083333333,0,2,"0",4,3,3,0,4.88280192258637,7903,13.2447686031514,"1",4,"0"
"1257",20,"0",15,0,0,0,0,"0",0,0,3,"0",0,0,1,0,4.82028156560504,1337,10.0131488067456,"1",6,"1"
"1258",17,"0",15,0,0,0,0,"0",0.058823529,0,3,"0",0,4,1,1,5.73009978297357,9553,8.37008432637803,"0",7,"0"
"1259",14,"0",6,1,0,0,0,"1",0,0,2,"0",0,3,3,0,5.7037824746562,7371,11.477640197781,"0",5,"0"
"1262",15,"0",12,0,0,0,0,"1",0.059701493,0,2,"1",0,1,2,2,4.61512051684126,5014,0,"1",0,"1"
"1263",31,"0",7,0,0,0,0,"0",0,0,2,"1",2,1,6,0,6.0913098820777,7595,0,"1",1,"1"
"1266",25,"0",6,0,0,0,0,"0",0,0,2,"0",0,1,4,0,4.44265125649032,2837,0,"1",2,"1"
"1268",12,"0",7,0,0,0,0,"1",0,0,1,"0",0,0,4,0,5.58724865840025,7039,0,"1",2,"1"
"1269",15,"0",12,0,1,0,0,"0",0.123076923,0,1,"0",0,1,2,0,5.71373280550937,5177,13.0992728308206,"0",4,"0"
"1271",24,"0",10,1,0,0,0,"1",0,0,3,"0",0,7,3,0,4.85981240436167,2429,0,"1",2,"1"
"1272",26,"0",8,0,0,0,0,"1",0,0,2,"0",1,1,3,0,5.36129216570943,2344,12.3616822605937,"1",2,"0"
"1273",12,"0",6,1,0,0,0,"1",0,0,2,"0",1,3,3,0,6.92657703322272,8479,11.8344580877971,"0",5,"0"
"1276",29,"0",6,1,0,0,0,"1",0.055555556,0.068965517,2,"0",1,4,3,0,5.65948221575962,78,0,"0",0,"1"
"1277",51,"1",20,0,2,0,0,"1",0.195767196,0.117647059,3,"1",1,9,3,1,3.58351893845611,330,0,"1",0,"1"
"1278",18,"0",7,0,1,0,0,"1",0,0,2,"1",0,1,2,0,0,220,0,"1",0,"1"
"1279",23,"0",10,1,0,0,0,"1",0,0,2,"1",2,5,3,0,6.54391184556479,8435,8.23084356419823,"0",6,"0"
"1280",50,"1",14,0,1,0,0,"1",0.188976378,0,3,"1",0,2,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"1281",21,"0",16,0,0,0,0,"0",0.0625,0,2,"0",0,1,2,0,7.74802852443238,7545,11.2419169463599,"0",4,"0"
"1282",12,"0",8,0,0,0,0,"1",0.047619048,0.166666667,2,"0",1,0,3,1,5.78074351579233,2963,0,"1",2,"1"
"1283",28,"0",7,0,0,0,0,"1",0.081632653,0.142857143,3,"0",1,1,4,1,5.60947179518496,3014,12.9797900868907,"1",4,"1"
"1284",35,"0",6,0,0,0,0,"1",0,0,2,"0",1,2,11,1,5.49306144334055,1950,12.7424168821178,"1",1,"1"
"1285",14,"0",14,1,0,0,0,"1",0.068965517,0,2,"0",3,7,3,0,4.89783979995091,7537,8.58391682345914,"1",6,"0"
"1286",21,"0",9,1,0,0,0,"0",0,0,3,"0",0,3,3,0,6.72142570079064,6840,11.1971867947359,"0",5,"0"
"1288",17,"0",6,1,0,0,0,"0",0,0,2,"0",0,4,3,0,5.87493073085203,2566,13.8813085980747,"0",3,"0"
"1289",24,"0",8,0,0,0,0,"0",0.078431373,0.166666667,2,"1",0,1,3,0,7.79605797431612,1953,8.38160253710989,"1",3,"1"
"1290",22,"0",9,0,0,0,0,"0",0.044776119,0,3,"0",0,1,3,0,5.23110861685459,5658,6.78784498230958,"1",6,"1"
"1292",21,"0",6,0,0,0,0,"0",0,0,2,"0",0,0,6,0,5.4249500174814,2695,13.559867058476,"0",4,"0"
"1293",15,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,7.83399634170946,3320,13.9416461690943,"0",2,"0"
"1295",18,"0",11,1,0,0,0,"0",0.098039216,0,2,"0",0,3,2,0,2.94443897916644,348,0,"1",0,"1"
"1296",10,"0",5,0,0,0,0,"1",0,0,2,"0",0,0,3,0,3.98898404656427,7253,13.7572668495228,"1",1,"1"
"1297",15,"0",10,1,0,0,0,"1",0,0,2,"0",1,3,3,0,6.36302810354046,9283,7.02731451403978,"0",6,"0"
"1300",23,"0",9,0,0,0,0,"1",0,0,3,"0",1,0,3,0,4.4188406077966,6128,8.33254893925264,"0",7,"0"
"1301",15,"0",11,1,0,0,0,"1",0,0,2,"0",1,3,1,0,7.25981961036319,5883,5.2040066870768,"0",6,"0"
"1302",16,"0",11,0,0,0,0,"0",0,0,2,"0",0,1,2,0,6.80572255341699,7133,2.56494935746154,"0",7,"0"
"1303",19,"0",7,1,0,0,0,"1",0,0,2,"0",0,3,3,0,5.28320372873799,6743,13.6537160718763,"0",4,"0"
"1304",12,"0",6,0,0,0,0,"0",0,0,2,"0",0,0,3,0,4.58496747867057,998,0,"1",0,"1"
"1305",16,"0",8,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80461452006262,7133,2.56494935746154,"0",7,"0"
"1306",21,"0",13,1,0,0,0,"0",0,0,2,"0",0,3,1,0,5.77455154554441,5522,14.8687676761114,"0",3,"0"
"1310",30,"0",6,0,0,0,0,"0",0,0,2,"0",0,0,7,0,5.26785815906333,1633,11.914034432192,"1",2,"1"
"1311",27,"0",12,0,0,0,0,"0",0.05,0.037037037,3,"0",0,1,2,2,7.14755927118945,5454,4.31748811353631,"1",4,"0"
"1312",23,"1",10,0,0,1,0,"1",0.208333333,0.260869565,3,"0",0,2,3,0,6.38012253689976,5985,9.77701688848218,"1",3,"1"
"1315",22,"0",10,1,0,0,0,"1",0,0,3,"0",0,5,3,0,4.21950770517611,5046,5.94017125272043,"0",5,"0"
"1316",17,"0",15,1,0,0,0,"1",0.047619048,0,3,"1",0,7,3,3,3.13549421592915,3630,0,"1",0,"1"
"1317",19,"0",8,1,0,0,0,"0",0,0,2,"0",0,3,3,1,5.59098698051086,3386,0,"1",2,"1"
"1318",17,"0",8,1,0,0,0,"1",0.027027027,0,3,"0",1,5,1,0,4.58496747867057,6477,10.6303112594555,"0",7,"0"
"1319",21,"1",12,1,1,0,0,"1",0.088607595,0,3,"1",2,5,3,0,4.75359019110636,9746,8.77971129020447,"1",6,"0"
"1320",23,"0",6,1,0,0,0,"0",0,0,2,"0",1,6,3,0,7.6586995582683,6092,0,"0",3,"0"
"1321",16,"0",5,0,0,0,0,"1",0,0,2,"0",0,0,3,0,3.98898404656427,7253,13.7572668495228,"1",1,"1"
"1324",21,"0",17,1,0,0,0,"0",0.010309278,0,2,"1",0,5,2,1,7.72709448477984,4305,8.82261694534418,"0",7,"0"
"1326",50,"1",14,0,1,0,0,"1",0.149606299,0,3,"1",0,2,2,0,3.25809653802148,3992,15.5556217575278,"1",0,"1"
"1327",28,"0",8,0,0,0,0,"0",0,0,2,"0",0,0,5,0,0,2191,9.68433602249146,"1",5,"1"
"1328",25,"0",9,1,0,0,0,"1",0.02,0,3,"0",0,3,1,1,5.89440283426485,3,0,"1",0,"1"
"1329",27,"1",8,1,0,0,0,"1",0.209876543,0,2,"0",1,6,2,0,4.35670882668959,5767,0,"1",2,"1"
"1330",18,"0",9,0,0,0,0,"1",0,0,1,"0",0,1,3,0,2.89037175789616,3271,0,"1",0,"1"
"1331",15,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,4.88280192258637,3157,12.9203059430864,"0",4,"0"
"1333",13,"0",9,1,0,0,0,"1",0.170731707,0,3,"0",0,3,3,0,6.62539236800796,3995,13.6789310961215,"0",4,"0"
"1334",21,"0",11,0,0,0,0,"1",0.015384615,0,3,"0",0,0,3,1,0,12811,6.53087762772588,"1",6,"0"
"1336",18,"0",12,0,0,0,0,"0",0.018691589,0,3,"0",0,5,1,0,5.81413053182507,6240,4.14313472639153,"0",8,"0"
"1337",11,"0",6,0,0,0,0,"1",0,0,2,"0",0,0,4,0,5.86078622346587,1111,0,"1",0,"1"
"1338",18,"0",13,1,0,0,0,"1",0,0,2,"1",1,3,2,5,4.61512051684126,4283,0,"1",1,"1"
"1339",16,"0",10,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80903930604298,7130,2.56494935746154,"0",7,"0"
"1340",14,"0",7,1,0,0,0,"0",0,0,2,"0",2,3,3,0,6.9555926083963,5160,4.75359019110636,"1",8,"0"
"1341",16,"0",13,1,0,0,0,"0",0,0,3,"0",2,5,3,0,6.13122648948314,9037,11.8716203674184,"1",5,"0"
"1342",19,"0",8,1,0,0,0,"1",0,0,2,"0",1,3,2,0,6.45519856334012,6670,8.83127373772255,"0",5,"0"
"1344",22,"0",6,0,0,0,0,"1",0,0,2,"0",0,0,8,0,5.91620206260743,7299,14.8432596557595,"0",5,"0"
"1345",45,"0",14,0,2,0,0,"0",0.111111111,0.177777778,3,"0",0,4,1,0,5.4380793089232,5614,0,"1",5,"1"
"1346",15,"0",12,1,0,0,0,"0",0,0,3,"1",0,3,3,0,7.96935774201635,7336,10.9076609483858,"0",5,"0"
"1347",12,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,3.17805383034795,5456,13.7684619264461,"0",5,"0"
"1348",50,"1",14,0,1,0,0,"0",0.125,0,3,"1",1,6,2,0,2.77258872223978,4003,15.5762295511474,"1",0,"1"
"1349",18,"0",10,1,1,0,0,"1",0,0,3,"1",1,3,3,0,7.01571242048723,8017,10.8838979678476,"0",5,"0"
"1350",20,"0",11,1,0,0,0,"1",0.030769231,0,3,"1",1,3,2,0,5.56452040732269,6679,8.79920924224139,"0",6,"0"
"1351",22,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.19849703126583,4933,12.0488455717854,"0",4,"0"
"1352",18,"0",7,1,0,0,0,"0",0,0,2,"0",0,5,3,0,5.33753807970132,889,15.0735782884399,"0",2,"1"
"1355",15,"0",6,1,0,0,0,"0",0,0,3,"0",0,3,3,0,4.76217393479776,3172,15.5993919094884,"0",5,"0"
"1356",18,"0",8,1,1,0,0,"1",0,0,2,"0",0,5,3,0,4.70953020131233,9021,12.2408073500376,"0",4,"0"
"1357",21,"0",11,0,0,0,0,"1",0.06779661,0,2,"0",1,1,1,1,5.8171111599632,3318,0,"1",0,"1"
"1358",10,"0",11,0,0,0,0,"1",0,0,2,"1",0,1,1,3,0,657,0,"1",0,"1"
"1359",50,"1",14,0,1,0,0,"0",0.109375,0,3,"1",1,4,2,0,2.77258872223978,4003,15.5762295511474,"1",0,"1"
"1361",12,"0",9,0,0,0,0,"1",0.12244898,0,1,"0",0,3,3,0,4.51085950651685,2102,0,"1",0,"1"
"1363",19,"0",6,0,0,0,0,"0",0,0,1,"1",1,0,6,0,5.02388052084628,214,0,"1",0,"1"
"1364",17,"0",7,0,0,0,0,"0",0,0,2,"1",0,0,4,0,5.39816270151775,1971,14.356065843161,"0",2,"0"
"1367",64,"0",12,0,1,0,0,"1",0.041958042,0.09375,3,"0",0,14,1,0,4.55387689160054,7211,0,"1",2,"1"
"1368",38,"0",5,0,0,0,0,"1",0.022222222,0.026315789,2,"0",1,0,8,0,5.92692602597041,7295,0,"1",5,"1"
"1369",31,"1",7,0,1,0,0,"0",0.352941176,0,2,"0",0,8,2,0,6.95749737087695,5158,0,"1",8,"1"
"1370",36,"0",11,1,1,0,0,"1",0,0,3,"0",1,4,3,0,5.27811465923052,3823,15.1952202879041,"0",2,"0"
"1371",27,"0",7,0,0,0,0,"1",0.085714286,0.111111111,2,"1",0,1,4,0,5.09375020080676,7142,15.9486671404851,"1",1,"1"
"1372",17,"0",13,0,0,0,0,"1",0,0,3,"1",0,0,3,0,5.81413053182507,5509,11.8993912230686,"0",3,"0"
"1373",16,"0",8,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80572255341699,7133,2.56494935746154,"0",7,"0"
"1374",26,"0",10,0,0,0,0,"1",0,0,2,"0",0,0,1,0,4.39444915467244,1015,13.9946211317322,"0",2,"1"
"1375",13,"0",7,1,0,0,0,"0",0,0,2,"0",0,3,3,0,4.9416424226093,2053,15.7586179257523,"1",0,"1"
"1377",17,"0",9,1,0,0,0,"1",0,0,2,"0",1,3,3,0,5.44241771052179,3057,11.171195430322,"1",5,"0"
"1378",17,"0",8,0,0,0,0,"1",0.078431373,0,2,"0",0,1,3,0,6.99301512293296,2563,0,"1",0,"1"
"1379",19,"0",10,1,0,0,0,"1",0,0,3,"0",0,3,3,0,5.77765232322266,8443,10.6444482300051,"0",5,"0"
"1380",19,"0",5,0,0,0,0,"1",0,0,1,"0",1,1,15,0,6.3919171133926,6344,14.5616798875809,"0",2,"0"
"1381",15,"0",11,1,0,0,0,"1",0.092307692,0,3,"0",1,4,3,0,5.62401750618734,10316,8.1605182474775,"0",7,"0"
"1382",17,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.83773044716594,8423,14.8645330128124,"0",2,"0"
"1386",17,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,8.12326131912175,5760,13.5572824278875,"0",4,"0"
"1387",10,"0",6,1,0,0,0,"1",0.166666667,0.3,2,"0",0,4,3,0,4.45434729625351,5058,13.3461850987093,"0",4,"0"
"1389",20,"0",6,0,0,0,0,"0",0.034482759,0.05,2,"0",0,0,5,0,4.8283137373023,1336,9.95180141281468,"0",6,"1"
"1391",43,"1",14,0,0,0,0,"1",0.29,0.069767442,3,"0",0,3,2,0,3.98898404656427,677,15.192201200654,"1",0,"1"
"1392",17,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.09375020080676,7508,13.0720885116107,"0",5,"0"
"1393",23,"0",12,0,0,0,0,"0",0.064102564,0,2,"0",0,1,3,0,5.77455154554441,4061,4.60517018598809,"0",5,"0"
"1394",19,"0",6,1,0,0,0,"1",0,0,2,"0",1,3,3,0,4.8283137373023,4624,12.7473411466475,"0",4,"0"
"1395",20,"0",9,1,1,0,0,"0",0,0,3,"0",0,3,1,0,8.15507488781144,8047,7.86480400332846,"0",6,"0"
"1396",17,"0",6,1,0,0,0,"1",0,0,2,"0",0,3,3,0,5.0998664278242,3124,14.6217238893721,"0",4,"0"
"1397",20,"0",15,1,0,0,0,"1",0.075757576,0,3,"0",1,3,1,0,5.47227067367148,9261,8.51077262361331,"0",5,"0"
"1398",14,"0",8,0,0,0,0,"0",0,0,3,"0",0,0,3,0,6.12249280951439,6485,10.0829299685792,"0",4,"0"
"1399",26,"0",5,0,0,0,0,"0",0.117647059,0.153846154,2,"0",1,0,8,0,0,6381,0,"1",3,"1"
"1400",19,"0",11,0,0,0,0,"1",0,0,2,"0",0,1,4,0,5.63478960316925,6661,8.21635833238616,"0",6,"0"
"1402",21,"0",10,0,0,0,0,"1",0,0,2,"1",1,0,2,3,5.45958551414416,497,0,"1",0,"1"
"1404",54,"1",14,1,1,0,0,"1",0.171875,0,3,"1",1,5,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"1405",16,"0",6,1,0,0,0,"0",0.08,0.125,2,"0",1,4,3,0,5.96357934361845,2169,0,"0",3,"0"
"1406",87,"1",19,0,0,0,0,"1",0.283185841,0.264367816,3,"0",1,2,1,0,5.88332238848828,1834,0,"1",0,"1"
"1407",11,"0",7,0,0,0,0,"0",0.166666667,0,2,"0",0,4,1,0,5.34233425196481,7828,5.95324333428778,"1",6,"1"
"1409",47,"1",16,0,1,0,0,"0",0.141935484,0,3,"0",0,7,2,1,6.5191472879404,2975,12.6184968164268,"1",1,"1"
"1410",18,"0",7,1,0,0,0,"0",0,0,2,"0",0,3,3,0,7.54009032014532,8710,8.21148291644507,"0",5,"0"
"1411",25,"1",17,1,0,0,0,"1",0.103448276,0,3,"1",1,4,2,3,6.42971947803914,3032,15.7050309892537,"1",2,"1"
"1412",25,"1",7,0,0,0,0,"1",0.272727273,0.36,3,"0",0,0,2,1,6.95654544315157,3698,12.0990774611959,"1",4,"1"
"1413",25,"0",6,1,0,0,0,"1",0,0,2,"0",1,4,3,0,7.82843635915759,6255,6.53524127101366,"0",6,"0"
"1414",16,"1",8,1,0,0,0,"1",0.170731707,0,3,"0",2,4,3,0,3.76120011569356,5694,5.77144112313002,"1",6,"0"
"1415",15,"1",10,0,0,0,0,"0",0.106060606,0,1,"0",0,2,4,0,3.68887945411394,4342,15.0772267549967,"0",4,"1"
"1416",18,"1",14,0,0,0,0,"1",0.431924883,0,3,"1",0,5,2,2,4.39444915467244,1015,13.9946211317322,"1",2,"1"
"1417",42,"1",13,0,1,0,0,"1",0.084033613,0,3,"0",0,3,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"1419",27,"0",6,0,0,0,0,"1",0,0,2,"0",1,0,8,1,5.50125821054473,4503,0,"0",3,"1"
"1420",29,"1",7,0,0,0,0,"1",0.3,0,2,"0",0,3,11,0,3.55534806148941,3984,0,"1",0,"1"
"1421",38,"0",14,0,0,0,0,"1",0,0,2,"0",4,3,3,0,6.75925527066369,3157,0,"1",1,"1"
"1422",16,"0",7,1,0,0,0,"1",0,0,2,"0",1,3,2,0,5.7037824746562,4083,0,"0",2,"0"
"1423",25,"1",35,1,0,0,0,"1",0.225454545,0,3,"1",1,8,1,3,5.29831736654804,531,0,"1",0,"1"
"1424",27,"0",5,1,0,0,0,"1",0.029411765,0.037037037,2,"0",0,4,3,0,3.71357206670431,2882,0,"0",4,"0"
"1426",26,"1",7,1,0,0,0,"1",0.318181818,0,2,"1",1,4,3,0,4.31748811353631,5769,0,"1",2,"1"
"1427",27,"0",11,0,1,0,0,"1",0.126923077,0,3,"0",0,6,2,1,6.8596149036542,7083,9.79618069954762,"1",3,"1"
"1428",16,"0",4,0,0,0,0,"1",0,0,1,"0",1,0,12,0,5.27811465923052,1997,14.6370043383099,"0",2,"0"
"1430",29,"0",8,0,0,0,0,"0",0,0,3,"1",0,0,2,0,6.4150969591716,8887,8.79527937019457,"0",3,"1"
"1431",16,"0",22,1,0,0,0,"1",0,0,3,"0",1,6,2,0,5.605802066296,7765,12.7453516063672,"0",6,"0"
"1434",21,"0",15,1,0,0,0,"1",0,0,2,"1",1,5,3,0,6.63463335786169,4352,9.29706837548601,"0",5,"0"
"1435",46,"1",14,1,1,0,0,"0",0.193548387,0,3,"0",1,4,2,0,2.77258872223978,4003,15.5762295511474,"1",0,"1"
"1436",18,"1",9,1,0,0,0,"1",0.291666667,0,2,"0",0,5,3,0,4.77912349311153,248,0,"1",0,"1"
"1438",37,"1",30,1,0,0,0,"0",0.16064257,0.054054054,2,"0",0,14,1,0,5.01063529409626,216,0,"1",0,"1"
"1439",19,"0",9,0,0,0,0,"1",0,0,3,"0",0,2,3,1,6.1779441140506,4633,15.9242327078535,"1",0,"1"
"1441",18,"0",8,0,0,0,0,"1",0,0,3,"0",1,0,2,0,5.07517381523383,1302,0,"1",0,"1"
"1443",22,"0",8,1,0,0,0,"1",0,0,2,"1",1,4,3,0,6.2803958389602,3849,13.6281044969585,"0",4,"0"
"1446",11,"0",11,1,0,0,0,"1",0,0,3,"0",0,3,3,0,0,12844,6.33859407820318,"0",6,"0"
"1447",13,"0",9,0,0,0,0,"1",0,0,2,"1",1,0,2,0,4.02535169073515,1771,0,"1",0,"1"
"1448",14,"0",13,1,0,0,0,"0",0.043478261,0,3,"0",1,5,3,0,7.41095187558364,7479,6.44571981938558,"0",7,"0"
"1449",34,"0",14,0,0,0,0,"1",0.032258065,0.088235294,3,"1",0,6,3,1,6.49072353450251,1532,8.45361420977337,"1",2,"1"
"1451",50,"1",10,0,1,0,0,"1",0.118421053,0,3,"1",1,3,2,0,3.25809653802148,3992,15.5556217575278,"1",0,"1"
"1452",14,"1",9,0,0,0,0,"1",0.159090909,0,3,"0",2,1,2,0,4.99721227376411,7159,7.75662333453886,"1",3,"0"
"1453",11,"0",6,1,0,0,0,"0",0,0,2,"0",0,4,3,0,0,7199,0,"0",2,"0"
"1454",12,"0",4,0,0,0,0,"1",0,0,1,"0",0,0,7,0,0,1301,11.3233254845976,"0",2,"0"
"1455",31,"0",5,0,0,0,0,"1",0,0,2,"0",1,0,8,0,5.92692602597041,7295,0,"1",5,"1"
"1456",13,"0",28,1,1,0,1,"0",0.195979899,0,3,"0",0,4,1,0,5.22035582507832,4564,15.8309596960239,"1",4,"1"
"1457",18,"0",6,0,0,0,0,"1",0.193548387,0.333333333,2,"0",1,1,5,0,5.68017260901707,72,0,"1",0,"1"
"1458",14,"0",7,0,0,0,0,"1",0,0,2,"0",0,0,3,0,5.43372200355424,2693,0,"0",4,"0"
"1459",25,"0",6,1,0,0,0,"1",0,0,2,"0",1,5,3,0,7.82644313545601,6260,6.52941883826223,"0",6,"0"
"1460",15,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,6.66695679242921,9076,13.3851613939416,"0",5,"0"
"1461",17,"0",11,1,1,0,0,"1",0,0,3,"0",1,3,3,0,6.43133108193348,8144,9.42262517995552,"0",6,"0"
"1462",19,"0",11,1,0,0,0,"1",0,0,2,"0",1,3,2,0,7.7553388128465,7529,10.6687693308553,"0",5,"0"
"1463",22,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,7.24351297466548,2984,12.7660797854488,"0",2,"0"
"1465",28,"1",18,0,1,0,0,"1",0.127071823,0,3,"1",0,2,2,4,5.5683445037611,1931,0,"1",3,"1"
"1466",16,"0",7,1,0,0,0,"0",0,0,2,"0",0,4,3,0,7.9402277651457,8517,2.19722457733622,"0",10,"0"
"1467",25,"0",11,1,0,0,0,"1",0,0,3,"0",0,3,3,0,5.14166355650266,195,0,"1",1,"1"
"1468",18,"1",13,0,0,0,0,"0",0.101265823,0,3,"1",1,2,2,0,5.64544689764324,10677,3.17805383034795,"1",8,"0"
"1469",22,"0",7,0,0,0,0,"1",0,0,3,"0",1,1,3,1,5.54126354515843,7050,14.0164060463404,"1",2,"1"
"1470",22,"0",6,0,0,0,0,"1",0.2,0.272727273,2,"0",0,0,8,2,0,540,14.6778070881244,"0",0,"1"
"1472",27,"1",8,1,0,0,0,"1",0.271604938,0,2,"0",1,7,2,0,4.34380542185368,5767,0,"1",2,"1"
"1473",28,"0",12,1,0,0,0,"1",0,0,3,"0",0,3,3,0,5.7268477475872,58,0,"1",2,"0"
"1474",20,"0",6,1,1,0,0,"0",0,0,2,"0",0,3,3,0,6.37842618365159,1968,14.552732517002,"0",2,"0"
"1475",11,"0",6,1,0,0,0,"0",0,0,2,"0",0,4,3,0,5.8348107370626,8466,14.9863157481131,"0",4,"0"
"1476",29,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.55682806169954,3028,13.0870822538672,"0",6,"0"
"1477",20,"1",7,1,0,0,0,"1",0.278688525,0,2,"0",0,4,3,0,3.2188758248682,7645,0,"1",0,"1"
"1480",23,"0",9,0,0,0,0,"1",0,0,2,"0",1,2,3,0,0,5643,0,"1",1,"1"
"1481",50,"1",13,0,1,0,0,"0",0.157480315,0,3,"1",1,2,2,0,3.25809653802148,3992,15.5556217575278,"1",0,"1"
"1482",14,"0",6,0,0,0,0,"1",0.1875,0,1,"0",0,1,3,0,5.45958551414416,496,13.1297202491379,"1",0,"1"
"1483",15,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,3.43398720448515,8594,15.5304077011837,"0",4,"0"
"1484",22,"0",6,1,0,0,0,"1",0,0,2,"0",1,3,3,0,6.10924758276437,7586,6.89669433162271,"0",5,"0"
"1485",13,"0",12,1,0,0,0,"1",0.017241379,0,3,"0",0,5,1,0,7.5847730776122,8759,4.83628190695148,"0",8,"0"
"1486",13,"1",12,0,0,0,0,"0",0.361904762,0,2,"0",1,17,3,1,6.54391184556479,1496,0,"1",2,"1"
"1488",14,"0",8,1,0,0,0,"1",0,0,2,"1",1,3,3,0,6.25958146406492,8973,9.36930800307183,"0",6,"0"
"1489",13,"0",4,0,0,0,0,"1",0,0,1,"0",0,1,6,0,3.89182029811063,2144,0,"0",1,"0"
"1490",16,"0",9,0,0,0,0,"1",0.192307692,0,2,"0",0,1,3,0,0,559,0,"1",1,"1"
"1491",18,"0",11,1,0,0,0,"1",0,0,2,"0",1,5,1,0,6.89568269774787,4490,7.9728107841214,"0",5,"0"
"1492",10,"0",9,0,0,0,0,"1",0,0,2,"0",1,0,1,1,0,5111,15.5545776844174,"1",1,"1"
"1493",28,"1",11,0,0,0,0,"1",0.169811321,0.321428571,3,"1",0,1,1,2,5.43372200355424,5615,0,"1",5,"1"
"1494",20,"0",8,1,1,0,0,"0",0.125,0,3,"0",0,7,3,0,8.15593633797239,8043,7.85282781228174,"0",6,"0"
